ticker,value_score,company_name,mcap_billions
ADUR,12.5,Aduro Clean Technologies Inc.,0.379885376
ADUS,75.0,Addus HomeCare Corporation,1.758465792
ADV,29.5,Advantage Solutions Inc.,0.402048448
ADVB,37.5,Advanced Biomed Inc.,0.006549773
ADXN,12.5,Addex Therapeutics Ltd,0.008279026
AEAQ,12.5,Activate Energy Acquisition Corp.,0.311237952
AEAQU,12.5,Activate Energy Acquisition Corp.,0.0
AEAQW,12.5,Activate Energy Acquisition Corp.,0.00354675
AEBI,29.5,Aebi Schmidt Holding AG,0.917605056
AEC,12.5,Anfield Energy Inc.,0.110240192
AEHL,58.5,Antelope Enterprise Holdings Limited,0.002028458
AEHR,29.0,"Aehr Test Systems, Inc.",2.637669888
AEI,25.0,Alset Inc.,0.068456664
AEIS,12.5,"Advanced Energy Industries, Inc.",14.283170816
AEMD,25.0,"Aethlon Medical, Inc.",0.003671717
AENT,58.5,Alliance Entertainment Holding Corporation,0.362816448
AENTW,54.0,Alliance Entertainment Holding Corporation,0.0
AEP,0.0,"American Electric Power Company, Inc.",72.652693504
AERT,29.5,"Aeries Technology, Inc",0.028800292
AERTW,12.5,"Aeries Technology, Inc",0.0
AEVA,0.0,"Aeva Technologies, Inc.",0.990167104
AEYE,0.0,"AudioEye, Inc.",0.088846416
AFBI,0.0,"Affinity Bancshares, Inc.",0.136464496
AFCG,12.5,Advanced Flower Capital Inc.,0.065410184
AFJK,12.5,"Aimei Health Technology Co., Ltd",0.277375744
AFJKR,12.5,AFJKR,0.0
AFJKU,12.5,"Aimei Health Technology Co., Ltd",0.0
AFOS,0.0,ARS Focused Opportunities Strategy ETF,0.0
AFRI,29.5,Forafric Global PLC,0.260407424
AFRIW,12.5,Forafric Global PLC,0.0
AFRM,45.5,"Affirm Holdings, Inc.",21.485637632
AFSC,0.0,abrdn Focused U.S. Small Cap Active ETF,0.0
AFYA,71.0,Afya Limited,1.425301376
AGAE,12.5,Allied Gaming & Entertainment Inc.,0.026229958
AGCC,12.5,Agencia Comercial Spirits Ltd,0.375069568
AGEM,0.0,abrdn Emerging Markets Dividend Active ETF,0.0
AGEN,12.5,Agenus Inc.,0.183928112
AGGA,0.0,Astoria Dynamic Core US Fixed Income ETF,0.0
AGH,12.5,Aureus Greenway Holdings Inc.,0.066435364
AGIO,12.5,"Agios Pharmaceuticals, Inc.",2.058928896
AGIX,0.0,KraneShares Artificial Intelligence and Technology ETF,0.0
AGMB,25.0,AgomAb Therapeutics NV,0.557659712
AGMH,54.5,AGM Group Holdings Inc.,0.00200007
AGMI,0.0,Themes Silver Miners ETF,0.0
AGNC,54.0,AGNC Investment Corp.,12.24330752
AGNCL,41.5,AGNCL,0.0
AGNCM,41.5,AGNC Investment Corp.,8.748732416
AGNCN,41.5,AGNC Investment Corp.,8.74082816
AGNCO,41.5,AGNC Investment Corp.,0.0
AGNCP,41.5,AGNC Investment Corp.,0.0
AGNCZ,41.5,AGNC Investment Corp.,0.0
AGNG,0.0,Global X Aging Population ETF,0.0
AGPU,25.0,Axe Compute Inc.,0.01949822
AGRZ,29.5,Agroz Inc.,0.008019189
AGYS,41.5,"Agilysys, Inc.",1.917825792
AGZD,0.0,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,0.0
AHCO,29.5,AdaptHealth Corp.,1.7206816
AHG,12.5,Akso Health Group,1.713408384
AHMA,54.0,Ambitions Enterprise Management Co. L.L.C,0.037750748
AIA,0.0,iShares Asia 50 ETF,0.0
AIDX,12.5,"20/20 Biolabs, Inc.",0.018654558
AIFD,0.0,TCW Artificial Intelligence ETF,0.0
AIFF,0.0,"Firefly Neuroscience, Inc.",0.027656786
AIFU,42.0,AIFU Inc.,0.157167408
AIHS,12.5,Senmiao Technology Limited,0.006517209
AIIO,12.5,Robo.ai Inc.,0.013423562
AIIOW,12.5,Robo.ai Inc.,0.0
AIMD,16.5,"Ainos, Inc.",0.014314044
AIMDW,12.5,"Ainos, Inc.",0.0
AIMS,0.0,Acuitas Small Cap Active ETF,0.0
AIOS,29.5,AIOS Tech Inc.,0.002831511
AIOT,46.0,"PowerFleet, Inc.",0.460125184
AIP,12.5,"Arteris, Inc.",1.0061904
AIPI,0.0,REX AI Equity Premium Income ETF,0.0
AIPO,0.0,Defiance AI & Power Infrastructure ETF,0.0
AIQ,0.0,Global X Artificial Intelligence & Technology ETF,0.0
AIRE,12.5,reAlpha Tech Corp.,0.03894924
AIRG,12.5,"Airgain, Inc.",0.079822016
AIRJ,25.0,AirJoule Technologies Corporation,0.225960032
AIRJW,25.0,AirJoule Technologies Corporation,0.0
AIRO,25.0,"AIRO Group Holdings, Inc.",0.253680176
AIRR,0.0,First Trust RBA American Industrial RenaissanceTM ETF,0.0
AIRS,17.0,"AirSculpt Technologies, Inc.",0.180596944
AIRT,29.5,"Air T, Inc.",0.060133716
AIRTP,12.5,"Air T, Inc.",0.451670624
AISP,12.5,"Airship AI Holdings, Inc.",0.08489924
AISPW,12.5,"Airship AI Holdings, Inc.",0.0
AIXC,25.0,"AIxCrypto Holdings, Inc.",0.030582636
AIXI,29.5,Xiao-I Corporation,0.011620691
AKAM,0.0,"Akamai Technologies, Inc.",14.11721728
AKAN,25.0,Akanda Corp.,0.001891843
AKBA,0.0,"Akebia Therapeutics, Inc.",0.376370304
AKTS,25.0,"Aktis Oncology, Inc.",1.119339008
AKTX,25.0,"Akari Therapeutics, Plc",0.00663861
ALAB,54.0,"Astera Labs, Inc.",29.625833472
ALAR,29.5,Alarum Technologies Ltd.,0.052291168
ALBG,0.0,Leverage Shares 2X Long ALB Daily ETF,0.0
ALBT,25.0,Avalon GloboCare Corp.,0.0037373
ALCO,0.0,"Alico, Inc.",0.330613984
ALCY,12.5,Alchemy Investments Acquisition Corp 1,0.049991564
ALCYU,12.5,Alchemy Investments Acquisition Corp 1,0.0
ALCYW,12.5,Alchemy Investments Acquisition Corp 1,0.0
ALDF,12.5,Aldel Financial II Inc.,0.316005728
ALDFU,12.5,Aldel Financial II Inc.,0.0
ALDFW,12.5,Aldel Financial II Inc.,0.0
ALDX,12.5,"Aldeyra Therapeutics, Inc.",0.108329008
ALEC,0.0,"Alector, Inc.",0.28363184
ALF,12.5,Centurion Acquisition Corp.,0.388484384
ALFUU,12.5,Centurion Acquisition Corp.,0.0
ALFUW,12.5,Centurion Acquisition Corp.,0.0
ALGM,12.5,"Allegro MicroSystems, Inc.",7.411634688
ALGN,41.5,"Align Technology, Inc.",13.612295168
ALGS,25.0,"Aligos Therapeutics, Inc.",0.041334548
ALGT,33.5,Allegiant Travel Company,1.69373632
ALHC,17.0,"Alignment Healthcare, Inc.",4.335171584
ALIL,0.0,Argent Focused Small Cap ETF,0.0
ALIS,12.5,Calisa Acquisition Corp,0.084612096
ALISR,12.5,Calisa Acquisition Corp,0.0
ALISU,12.5,Calisa Acquisition Corp,0.0
ALKS,12.5,Alkermes plc,5.754422272
ALKT,0.0,"Alkami Technology, Inc.",1.90811264
ALLO,12.5,"Allogene Therapeutics, Inc.",0.79175424
ALLR,12.5,"Allarity Therapeutics, Inc.",0.019457346
ALLT,58.0,Allot Ltd.,0.35469248
ALLW,0.0,State Street Bridgewater All Weather ETF,0.0
ALM,12.5,Almonty Industries Inc.,6.602993664
ALMR,12.5,"Alamar Biosciences, Inc. Common Stock",1.427597568
ALMS,12.5,Alumis Inc.,3.178711296
ALMU,12.5,"Aeluma, Inc.",0.290954816
ALNT,29.0,Allient Inc.,1.266146432
ALNY,29.0,"Alnylam Pharmaceuticals, Inc.",41.317285888
ALOT,29.5,"AstroNova, Inc.",0.102699416
ALOV,12.5,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",0.37068528
ALOVU,12.5,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",0.0
ALOVW,12.5,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",0.0
ALOY,12.5,REalloys Inc.,0.680275072
ALPS,0.0,Alps Group Inc,0.16606752
